city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
Cortez,1,US,1538153580,5,37.35,-108.58,71.06,3.47
Sinop,75,TR,1538153400,68,42.03,35.15,64.4,8.05
Qaqortoq,75,GL,1538153400,48,60.72,-46.03,44.6,23.04
Newry,75,GB,1538153400,62,54.18,-6.34,53.6,6.93
Doka,0,SD,1538155584,38,13.52,35.76,84.98,10.4
Ukholovo,100,RU,1538155584,77,53.79,40.49,58.97,23.82
Srednekolymsk,68,RU,1538155584,79,67.46,153.71,25.31,5.93
Nokaneng,92,BW,1538155584,26,-19.66,22.19,85.7,5.7
Semirom,8,IR,1538155585,46,31.41,51.57,51.86,3.24
Saint-Augustin,75,CA,1538154000,68,45.63,-73.98,66.2,6.93
Maniitsoq,88,GL,1538155585,100,65.42,-52.9,35.66,12.75
Berdigestyakh,68,RU,1538155345,65,62.1,126.7,35.84,4.7
Saint George,20,BM,1538153700,54,32.38,-64.68,82.4,5.82
Priladozhskiy,0,RU,1538152200,48,59.85,31.48,44.6,17.9
Yablonovo,0,RU,1538152200,76,50.85,37.36,55.4,6.71
Riihimaki,0,FI,1538153400,60,60.74,24.78,42.8,6.93
Dongsheng,0,CN,1538155586,70,29.72,112.52,61.13,6.15
Borogontsy,12,RU,1538155586,68,62.67,131.17,30.08,2.57
Khatanga,48,RU,1538155587,90,71.98,102.47,44.93,17.0
Mimongo,24,GA,1538155587,95,-1.62,11.6,73.28,1.9
Saint-Philippe,0,RE,1538154000,60,-21.36,55.77,71.6,21.92
Mathbaria,0,BD,1538155587,89,22.29,89.96,81.2,5.37
Fortuna,90,US,1538153700,100,40.6,-124.16,53.96,3.91
Riyadh,0,SA,1538154000,9,24.63,46.72,91.4,5.82
Lodeynoye Pole,12,RU,1538155587,83,60.73,33.55,40.25,8.61
Biharamulo,12,TZ,1538155588,89,-2.64,31.31,66.62,2.35
Matay,12,EG,1538155588,36,28.42,30.79,82.46,8.39
Seoul,20,KR,1538152200,68,37.57,126.98,64.4,6.93
Nanortalik,0,GL,1538155588,90,60.14,-45.24,39.26,32.55
Paita,0,PE,1538154000,290,-5.09,-81.11,62.6,8.05
Aswan,0,EG,1538154000,13,24.09,32.9,100.4,10.29
Marsa Matruh,0,EG,1538154000,74,31.35,27.25,80.6,5.82
Cascais,0,PT,1538154000,47,38.7,-9.42,89.6,13.87
Santa Fe,1,US,1538153700,5,35.69,-105.94,71.06,4.7
Noshiro,56,JP,1538155589,100,40.21,140.05,63.65,5.37
Vilhena,75,BR,1538150400,94,-12.74,-60.15,69.8,18.34
Santa Cruz,75,CR,1538154000,66,10.26,-85.58,87.8,4.7
Inhambane,20,MZ,1538150400,83,-23.87,35.38,78.8,12.75
San Andres,75,CO,1538154000,70,8.22,-76.58,86.0,5.82
Sangin,0,AF,1538155591,49,32.07,64.85,60.86,2.57
Kulhudhuffushi,48,MV,1538155591,100,6.62,73.07,81.92,15.77
Harper,76,LR,1538155592,100,4.38,-7.71,78.5,13.76
Imbituba,75,BR,1538154000,83,-28.24,-48.67,73.4,9.17
Novonukutskiy,0,RU,1538155592,85,53.7,102.71,30.44,2.46
Ahuimanu,90,US,1538154720,100,21.44,-157.84,78.98,8.05
Kashmor,8,PK,1538155592,62,28.43,69.58,78.5,5.48
Toora-Khem,0,RU,1538155592,86,52.47,96.11,32.96,2.91
Christchurch,0,NZ,1538154000,100,-43.53,172.64,33.8,2.24
Pirdop,0,BG,1538154000,26,42.7,24.18,55.4,8.05
Rocky Mountain House,92,CA,1538155482,95,52.38,-114.92,36.38,3.69
Lorengau,12,PG,1538155593,100,-2.02,147.27,82.28,10.4
Nantucket,90,US,1538154900,96,41.28,-70.1,62.96,12.75
Sioux Lookout,75,CA,1538154000,100,50.1,-91.92,37.4,4.7
Kudahuvadhoo,76,MV,1538155594,100,2.67,72.89,81.38,18.68
Karratha,0,AU,1538155594,83,-20.74,116.85,58.88,3.13
Oni,24,GE,1538155594,96,42.59,43.44,45.92,2.13
Sao Filipe,0,CV,1538155595,85,14.9,-24.5,81.74,16.22
Matelandia,0,BR,1538154000,48,-25.24,-54.0,87.8,9.17
Quatre Cocos,75,MU,1538154000,64,-20.21,57.76,73.4,11.41
Henties Bay,0,NA,1538155595,86,-22.12,14.28,59.96,6.15
Luis Correia,20,BR,1538154000,46,-2.88,-41.67,89.6,23.04
Zhigansk,8,RU,1538155595,98,66.77,123.37,31.07,4.14
Riberalta,75,BO,1538154000,66,-11.0,-66.08,87.8,9.17
Itororo,0,BR,1538155596,49,-15.12,-40.07,86.78,8.95
Ivanivka,0,UA,1538152200,76,46.98,30.46,57.2,4.47
Bathsheba,40,BB,1538154000,83,13.22,-59.52,82.4,23.04
